lat	lon	sst	sstdif	sbt	sbtdif	ult	ultdif	npp	depth	asurv	mesh	vertop	towsp	aswept	density
65.52	-17.26	278.350	4.650	277.088	1.593	277.824	3.012	188	129.75	40140	40	4.5	3.8	44.526	10501
65.06	-25.77	280.850	3.624	279.015	0.276	280.352	1.957	262	756.25	50278	40	5.5	3.8	86.779	9603
65.01	-20.49	280.850	4.450	280.163	1.445	280.503	2.889	262	120.75	39766	40	4.5	3.8	44.242	21534
18.50	-16.90	293.950	6.886	290.748	4.123	292.492	5.787	1886	27.5	14127	40	4.0	3.5	89.155	35119
18.50	-16.90	294.650	7.540	287.317	1.465	291.518	4.644	1886	125	10646	40	4.0	3.5	70.675	32156
32.29	-8.59	292.250	3.826	285.382	-0.247	290.415	0.829	380	300	4876	40	2.1	3	6.881	53759
32.29	-8.59	292.350	3.973	288.384	-0.373	290.702	1.115	380	111	28889	40	2.1	3	19.868	110799
32.29	-8.59	292.350	4.044	283.627	-0.138	290.423	0.953	380	645	10690	40	2.1	3	12.602	20595
56.40	2.45	283.250	8.138	281.508	3.486	282.312	5.661	387	140	493244	20	5.0	4	289.224	128941
56.18	2.27	283.250	8.159	281.525	3.531	282.322	5.700	387	140	499507	20	5.0	4	765.024	64510
43.03	-5.74	288.650	5.715	284.887	0.309	287.026	2.155	379	264	20279	20	2.0	3	137.025	83035
72.41	22.21	279.250	3.697	276.673	-0.303	278.644	1.730	173	471.5	118922	16	7.0	3.4	66.882	4364
52.48	-13.10	285.550	4.542	283.280	-0.048	284.550	2.013	235	476	53139	20	3.5	3.5	42.380	95081
40.60	-9.30	289.450	4.656	286.372	-0.272	288.024	1.432	498	346	12482	20	4.6	3.5	47.557	147489
36.85	-8.24	291.250	4.486	287.488	-0.346	289.709	1.336	498	354.5	2801	20	4.6	3.5	29.803	264612
38.27	-9.46	290.150	4.005	286.507	-0.385	288.729	1.147	498	245	8248	20	4.6	3.5	38.527	320856
73.24	38.71	275.450	4.672	273.865	-0.015	274.616	1.931	128	433	820387	16	7.0	3.4	296.259	4668
38.35	14.26	292.650	11.212	286.867	-0.011	288.952	2.964	170	109.5	941	20	1.9	3	6.222	13868
38.35	14.26	292.650	11.212	286.867	-0.011	288.952	2.964	170	446.5	1821	20	1.9	3	12.954	2579
44.17	-62.40	281.150	13.355	278.525	0.940	278.584	4.938	306	106	190955	19	4.6	3.5	166.876	12559
41.00	2.15	291.258	10.614	286.508	0.436	286.344	4.429	242	483.5	5318	20	3.0	3	11.978	9731
41.00	2.15	290.854	10.192	286.261	0.056	287.817	3.551	242	115	10149	20	3.0	3	31.577	70722
62.88	-50.25	274.750	3.861	276.899	0.102	275.103	1.786	125	300	13077	30	4.0	4.5	67.710	2214
62.88	-50.25	274.750	3.427	276.018	0.433	275.046	1.733	125	124.5	47617	30	4.0	4.5	121.787	3651
57.29	-7.66	283.950	4.583	282.798	1.365	283.427	3.015	324	265	114470	20	4.6	4	49.136	75053
57.27	-7.66	283.950	4.592	282.826	1.383	283.431	3.028	324	207.5	114003	20	4.6	4	99.456	89244
